b'[FWA, OH1, Fort Wayne, IN, Washington Court House, OH, 0, 0, 1, 135, 2003-09-01, 398574, 28133, 40.97850037, -85.19509888, NA, NA]'
b'[CGI, TBN, Cape Girardeau, MO, Fort Leonard Wood, MO, 2, 19, 1, 146, 2009-08-01, 93712, 46457, 37.2252998352051, -89.57080078125, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 363, 1273, 67, 119, 2009-08-01, 2828990, 46457, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 245, 1026, 54, 119, 2009-11-01, 2828990, 46457, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 281, 969, 51, 119, 2009-02-01, 2828990, 46457, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 292, 1311, 69, 119, 2009-06-01, 2828990, 46457, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 331, 1330, 70, 119, 2009-05-01, 2828990, 46457, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 153, 608, 32, 119, 2009-12-01, 2828990, 46457, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 286, 969, 51, 119, 2009-01-01, 2828990, 46457, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 348, 1083, 57, 119, 2009-03-01, 2828990, 46457, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[BRL, TBN, Burlington, IA, Fort Leonard Wood, MO, 0, 19, 1, 217, 2009-03-01, 48412, 46457, 40.7831993103027, -91.1255035400391, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 294, 1254, 66, 119, 2009-10-01, 2828990, 46457, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 400, 1330, 70, 119, 2009-04-01, 2828990, 46457, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 247, 1349, 71, 119, 2009-09-01, 2828990, 46457, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 339, 1273, 67, 119, 2009-07-01, 2828990, 46457, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[MCI, TBN, Kansas City, MO, Fort Leonard Wood, MO, 16, 494, 26, 176, 2009-12-01, 2067585, 46457, 39.2976, -94.713898, 37.74160004, -92.14070129]'
b'[MCI, TBN, Kansas City, MO, Fort Leonard Wood, MO, 267, 969, 51, 176, 2009-05-01, 2067585, 46457, 39.2976, -94.713898, 37.74160004, -92.14070129]'
b'[MCI, TBN, Kansas City, MO, Fort Leonard Wood, MO, 235, 893, 47, 176, 2009-06-01, 2067585, 46457, 39.2976, -94.713898, 37.74160004, -92.14070129]'
b'[MCI, TBN, Kansas City, MO, Fort Leonard Wood, MO, 292, 969, 51, 176, 2009-04-01, 2067585, 46457, 39.2976, -94.713898, 37.74160004, -92.14070129]'
b'[MCI, TBN, Kansas City, MO, Fort Leonard Wood, MO, 94, 627, 33, 176, 2009-11-01, 2067585, 46457, 39.2976, -94.713898, 37.74160004, -92.14070129]'
b'[MCI, TBN, Kansas City, MO, Fort Leonard Wood, MO, 214, 950, 50, 176, 2009-02-01, 2067585, 46457, 39.2976, -94.713898, 37.74160004, -92.14070129]'
b'[MCI, TBN, Kansas City, MO, Fort Leonard Wood, MO, 251, 1083, 57, 176, 2009-03-01, 2067585, 46457, 39.2976, -94.713898, 37.74160004, -92.14070129]'
b'[MCI, TBN, Kansas City, MO, Fort Leonard Wood, MO, 183, 893, 47, 176, 2009-09-01, 2067585, 46457, 39.2976, -94.713898, 37.74160004, -92.14070129]'
b'[MCI, TBN, Kansas City, MO, Fort Leonard Wood, MO, 250, 912, 48, 176, 2009-10-01, 2067585, 46457, 39.2976, -94.713898, 37.74160004, -92.14070129]'
b'[MCI, TBN, Kansas City, MO, Fort Leonard Wood, MO, 214, 931, 49, 176, 2009-08-01, 2067585, 46457, 39.2976, -94.713898, 37.74160004, -92.14070129]'
b'[MCI, TBN, Kansas City, MO, Fort Leonard Wood, MO, 255, 969, 51, 176, 2009-01-01, 2067585, 46457, 39.2976, -94.713898, 37.74160004, -92.14070129]'
b'[MCI, TBN, Kansas City, MO, Fort Leonard Wood, MO, 214, 950, 50, 176, 2009-07-01, 2067585, 46457, 39.2976, -94.713898, 37.74160004, -92.14070129]'
b'[MCI, TBN, Kansas City, MO, Fort Leonard Wood, MO, 239, 950, 50, 176, 2008-11-01, 2046083, 44760, 39.2976, -94.713898, 37.74160004, -92.14070129]'
b'[MCI, TBN, Kansas City, MO, Fort Leonard Wood, MO, 232, 1007, 53, 176, 2008-09-01, 2046083, 44760, 39.2976, -94.713898, 37.74160004, -92.14070129]'
b'[MCI, TBN, Kansas City, MO, Fort Leonard Wood, MO, 144, 855, 45, 176, 2008-07-01, 2046083, 44760, 39.2976, -94.713898, 37.74160004, -92.14070129]'
b'[MCI, TBN, Kansas City, MO, Fort Leonard Wood, MO, 131, 893, 47, 176, 2008-12-01, 2046083, 44760, 39.2976, -94.713898, 37.74160004, -92.14070129]'
b'[MCI, TBN, Kansas City, MO, Fort Leonard Wood, MO, 227, 1045, 55, 176, 2008-08-01, 2046083, 44760, 39.2976, -94.713898, 37.74160004, -92.14070129]'
b'[MCI, TBN, Kansas City, MO, Fort Leonard Wood, MO, 276, 1083, 57, 176, 2008-10-01, 2046083, 44760, 39.2976, -94.713898, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 412, 1083, 57, 119, 2008-10-01, 2818688, 44760, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 309, 1045, 55, 119, 2008-03-01, 2818688, 44760, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
